Team,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
CHI,2021,Year/Year,,0.1%,4.9%,6.2%,-.006,3.1%,2.2%,+.003,5.6%,8.8%,-.016,-12.9%,-14.6%,+.015,-14.6%,-5.4%,-7.4%,-5.1%,4.6%,-14.4%,-30.3%,-7.5%,1.5%
CLE,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,2021,Team,72,17430,2778,6175,.450,720,2141,.336,2058,4034,.510,1200,1614,.743,751,2327,3078,1716,559,325,1114,1308,7476
CLE,2021,Team/G,,242.1,38.6,85.8,.450,10.0,29.7,.336,28.6,56.0,.510,16.7,22.4,.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8
CLE,2021,Lg Rank,,6,29,28,25,29,28,30,14,9,26,14,9,26,10,28,24,21,12,20,29,7,30
CLE,2021,Year/Year,,0.1%,-4.2%,-2.5%,-.008,-10.6%,-6.6%,-.015,-1.8%,-0.1%,-.009,10.2%,12.4%,-.015,-3.7%,-3.3%,-3.4%,3.3%,12.9%,39.1%,-6.3%,-0.6%,-2.9%
CLE,2021,Opponent,72,17430,3024,6245,.484,893,2334,.383,2131,3911,.545,1143,1468,.779,712,2437,3149,1828,613,425,1033,1451,8084
CLE,2021,Opponent/G,,242.1,42.0,86.7,.484,12.4,32.4,.383,29.6,54.3,.545,15.9,20.4,.779,9.9,33.8,43.7,25.4,8.5,5.9,14.3,20.2,112.3
CLE,2021,Lg Rank,,6,21,8,29,13,6,28,21,18,27,8,7,16,17,14,14,20,28,29,12,6,17
CLE,2021,Year/Year,,0.1%,-4.2%,-3.0%,-.006,0.3%,-1.7%,+.007,-6.0%,-3.7%,-.013,8.0%,6.4%,+.012,1.5%,2.1%,2.0%,-2.9%,-9.7%,-6.9%,10.5%,2.6%,-2.2%
DAL,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,2021,Team,72,17305,2958,6287,.470,994,2744,.362,1964,3543,.554,1186,1524,.778,657,2463,3120,1647,450,311,869,1396,8096
DAL,2021,Team/G,,240.3,41.1,87.3,.470,13.8,38.1,.362,27.3,49.2,.554,16.5,21.2,.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4
DAL,2021,Lg Rank,,24,18,22,13,8,6,18,21,27,3,18,20,15,25,17,21,26,30,26,3,19,17
DAL,2021,Year/Year,,-0.8%,-1.4%,-3.3%,+.009,-8.9%,-7.6%,-.005,2.9%,0.4%,+.014,-11.2%,-11.2%,-.001,-13.5%,-6.0%,-7.7%,-7.2%,1.9%,-10.8%,-5.0%,-0.5%,-3.9%
DAL,2021,Opponent,72,17305,2885,6269,.460,925,2537,.365,1960,3732,.525,1238,1621,.764,704,2460,3164,1631,527,264,908,1446,7933
DAL,2021,Opponent/G,,240.3,40.1,87.1,.460,12.8,35.2,.365,27.2,51.8,.525,17.2,22.5,.764,9.8,34.2,43.9,22.7,7.3,3.7,12.6,20.1,110.2
DAL,2021,Lg Rank,,24,8,12,9,16,20,13,7,8,12,18,20,5,12,15,15,2,9,2,26,7,9
DAL,2021,Year/Year,,-0.8%,-4.4%,-4.9%,+.003,4.8%,1.1%,+.013,-8.2%,-8.6%,+.002,7.5%,7.0%,+.003,-6.2%,-2.4%,-3.3%,-5.3%,4.6%,-11.6%,5.6%,-5.9%,-1.7%
DEN,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
